CustomerID,FullName,Gender,Age,AgeGroup,State,City,AccountOpenedDate,AccountType,DematAccount,LastYearNewDemat,AnnualIncome,TransactionCountLast12m,TransactionValueLast12m,CreditScore,InvestmentType,EmploymentStatus,ProductType,CustomerSinceYears,FeedbackScore
CUST017,Manjari Bhatia,Other,19,18-25,Delhi,Bhatpara,2021-01-11,Salary,Yes,No,1663593,213,405180,673,Stocks,Self-employed,Digital Only,4.8,4
CUST018,Nirvaan Bhatnagar,Male,20,18-25,Madhya Pradesh,Dewas,2024-11-06,Salary,Yes,No,278302,290,3580701,359,Mutual Funds,Student,Corporate Banking,1.0,5
CUST019,Pranay Sachar,Female,70,65+,Madhya Pradesh,Sambhal,2025-08-15,NRI,Yes,Yes,1874485,462,1785545,564,FD,Salaried,Corporate Banking,0.2,10
CUST020,Vanya Chaudhry,Other,22,18-25,Karnataka,Nagpur,2024-06-12,Current,Yes,No,2233484,321,3615412,900,Stocks,Salaried,Digital Only,1.4,2
CUST021,Divij Gopal,Female,66,65+,Maharashtra,Khora ,2020-09-29,Savings,No,No,429957,373,823325,685,Mutual Funds,Self-employed,Retail Banking,5.1,1
CUST022,Pihu Goel,Female,36,36-45,Rajasthan,Hyderabad,2024-01-02,NRI,No,No,1537086,453,4739655,856,Stocks,Student,Retail Banking,1.8,3
CUST023,Shaan Tripathi,Other,42,36-45,Gujarat,Nagpur,2022-07-12,Savings,Yes,No,330333,295,1824341,355,FD,Student,Digital Only,3.3,6
CUST024,Lavanya Khatri,Male,52,46-55,Maharashtra,Ludhiana,2021-12-15,Savings,Yes,Yes,1229570,289,2995078,599,Stocks,Student,Retail Banking,3.9,5
CUST025,Lagan Setty,Female,56,56-65,Delhi,Muzaffarnagar,2021-04-29,Savings,No,No,1157063,65,1498348,825,FD,Self-employed,Corporate Banking,4.5,7
CUST026,Advik Yadav,Other,34,26-35,Karnataka,Burhanpur,2021-10-07,NRI,No,No,2259954,318,3058893,543,FD,Salaried,Digital Only,4.1,3
CUST027,Keya Batra,Other,35,26-35,Madhya Pradesh,Morena,2020-09-20,NRI,Yes,Yes,2298574,179,3144194,592,Stocks,Student,Retail Banking,5.1,8
CUST028,Ojas Wagle,Male,20,18-25,Maharashtra,Deoghar,2024-06-20,Salary,No,No,1456341,52,4785592,881,FD,Self-employed,Digital Only,1.4,6
CUST029,Anvi Garde,Female,40,36-45,Madhya Pradesh,Kanpur,2021-08-02,NRI,No,No,1016571,409,2989732,384,None,Self-employed,Digital Only,4.3,5
CUST030,Shamik Madan,Other,23,18-25,Madhya Pradesh,Danapur,2024-08-14,Salary,No,No,645039,239,4557844,408,FD,Self-employed,Corporate Banking,1.2,10
CUST031,Uthkarsh Iyer,Female,25,18-25,Gujarat,Fatehpur,2024-03-04,Salary,Yes,Yes,2084965,475,119940,790,Mutual Funds,Student,Corporate Banking,1.7,8
CUST032,Ryan Goel,Other,44,36-45,Delhi,Mango,2025-04-16,Salary,No,No,2230947,497,4547753,893,FD,Salaried,Digital Only,0.6,8
CUST033,Prisha Iyer,Male,42,36-45,Gujarat,Dewas,2024-10-21,Current,Yes,Yes,1913228,246,729607,564,Mutual Funds,Self-employed,Corporate Banking,1.0,5
CUST034,Kanav Balan,Male,64,56-65,Gujarat,Sri Ganganagar,2021-07-21,Salary,No,No,1122863,92,4076727,341,FD,Retired,Corporate Banking,4.3,1
CUST035,Amira Randhawa,Female,42,36-45,Delhi,Thiruvananthapuram,2020-05-17,Savings,No,No,1378342,193,309696,599,None,Retired,Corporate Banking,5.5,8
CUST036,Tushar Doctor,Other,18,18-25,Karnataka,Amritsar,2024-08-22,Savings,No,No,1663017,384,1180336,678,Mutual Funds,Salaried,Retail Banking,1.2,9
CUST037,Navya Jaggi,Male,48,46-55,Maharashtra,Bally,2024-02-03,NRI,Yes,Yes,1705286,339,2512607,499,Mutual Funds,Self-employed,Digital Only,1.8,1
CUST038,Shalv Dutt,Male,33,26-35,West Bengal,Raichur,2020-08-20,Current,No,No,2031187,230,3687099,559,Stocks,Self-employed,Corporate Banking,5.2,1
CUST039,Lavanya Chacko,Other,28,26-35,West Bengal,Dhule,2021-05-21,Salary,No,No,1448533,181,4529443,324,Stocks,Student,Digital Only,4.5,6
CUST040,Drishya Chopra,Female,49,46-55,Uttar Pradesh,Kharagpur,2023-03-19,Salary,Yes,No,1032808,322,4248502,654,Stocks,Self-employed,Corporate Banking,2.6,1
CUST041,Azad Comar,Female,50,46-55,Gujarat,Hajipur,2021-01-21,NRI,Yes,Yes,342189,172,1923894,582,None,Student,Digital Only,4.8,5
CUST042,Jiya Kakar,Other,66,65+,West Bengal,Jaipur,2020-03-29,Savings,No,No,472040,405,2514576,515,Stocks,Retired,Digital Only,5.6,7
CUST043,Kiaan Bhatnagar,Other,61,56-65,Karnataka,Nagpur,2024-08-08,Savings,Yes,Yes,736911,450,287473,658,Stocks,Retired,Corporate Banking,1.2,4
CUST044,Baiju Johal,Female,23,18-25,Karnataka,Korba,2023-02-01,Current,Yes,No,1367168,233,1043986,899,FD,Student,Digital Only,2.8,9
CUST045,Elakshi Kade,Male,45,36-45,Uttar Pradesh,Saharsa,2021-12-17,NRI,No,No,2161865,30,638874,885,None,Retired,Retail Banking,3.9,4
CUST046,Abram Saraf,Male,53,46-55,Delhi,Agartala,2021-09-03,Current,No,No,436252,329,2821606,709,Stocks,Self-employed,Corporate Banking,4.2,5
CUST047,Shalv Chandra,Other,49,46-55,West Bengal,Hindupur,2023-10-01,NRI,Yes,No,2398096,499,1324437,792,None,Student,Retail Banking,2.1,6
CUST048,Renee Dar,Female,52,46-55,Gujarat,Kadapa,2020-03-15,Current,Yes,Yes,1256355,316,4432510,655,None,Salaried,Corporate Banking,5.6,7
CUST049,Miraya Sharma,Female,22,18-25,Maharashtra,Nagercoil,2021-11-19,Current,Yes,No,2399167,45,1764562,569,None,Retired,Corporate Banking,4.0,6
CUST050,Adira Dhar,Female,32,26-35,Bihar,Bhilai,2023-12-10,Current,No,No,1277481,101,2075339,643,None,Retired,Retail Banking,1.9,9
CUST051,Piya Gupta,Male,25,18-25,Bihar,Imphal,2021-01-24,Savings,No,No,1770647,280,2949174,826,None,Salaried,Retail Banking,4.8,3
CUST052,Zeeshan Deo,Other,26,26-35,Gujarat,Proddatur,2021-07-26,Savings,No,No,819968,421,3012175,496,FD,Salaried,Digital Only,4.3,10
CUST053,Parinaaz Ahuja,Female,33,26-35,Rajasthan,Bihar Sharif,2022-11-04,NRI,No,No,877690,371,3873699,644,Mutual Funds,Retired,Digital Only,3.0,1
CUST054,Indrajit Din,Other,18,18-25,Rajasthan,Baranagar,2022-11-30,Salary,No,No,1580492,338,1561372,405,Mutual Funds,Retired,Corporate Banking,2.9,2
CUST055,Shray Rana,Male,41,36-45,Bihar,Amravati,2023-12-07,Current,No,No,1480404,317,2038796,719,Stocks,Retired,Corporate Banking,1.9,5
CUST056,Anay Choudhury,Female,60,56-65,Rajasthan,Chandrapur,2022-01-27,NRI,No,No,702173,489,828024,497,Mutual Funds,Student,Retail Banking,3.8,5
CUST057,Siya Sarna,Female,21,18-25,Delhi,Vijayawada,2022-02-01,Savings,Yes,No,1583257,456,4347610,301,FD,Salaried,Corporate Banking,3.8,9
CUST058,Taran Bhalla,Female,22,18-25,Gujarat,Bhubaneswar,2023-06-06,Current,Yes,Yes,2388941,259,393037,332,None,Retired,Corporate Banking,2.4,1
CUST059,Alisha Devi,Male,26,26-35,Madhya Pradesh,Bidhannagar,2024-09-27,Salary,No,No,2400566,285,1106993,819,FD,Self-employed,Corporate Banking,1.1,10
CUST060,Elakshi Viswanathan,Male,32,26-35,Maharashtra,Haridwar,2021-01-01,NRI,No,No,986086,409,1666301,634,None,Self-employed,Corporate Banking,4.8,10
CUST061,Sara Karpe,Male,65,56-65,Bihar,Jalandhar,2024-01-09,NRI,No,No,2005378,179,3487637,428,FD,Salaried,Corporate Banking,1.8,8
CUST062,Ela Deshpande,Male,28,26-35,Uttar Pradesh,Mehsana,2025-03-08,Salary,No,No,1334195,391,3040035,648,Mutual Funds,Student,Digital Only,0.7,8
CUST063,Madhav Chatterjee,Other,44,36-45,Karnataka,Bardhaman,2024-05-18,Salary,No,No,632366,351,3811294,453,Mutual Funds,Student,Digital Only,1.5,4
CUST064,Indrajit Deol,Female,45,36-45,Tamil Nadu,Siwan,2025-04-16,Current,No,No,2188422,495,2057687,359,Stocks,Retired,Retail Banking,0.6,3
CUST065,Kimaya Tiwari,Female,27,26-35,Tamil Nadu,Hindupur,2021-05-28,Savings,Yes,No,1525995,14,155667,349,FD,Self-employed,Retail Banking,4.4,2
CUST066,Aaina Chakrabarti,Other,56,56-65,West Bengal,Varanasi,2022-12-21,Current,No,No,730558,383,2116023,384,Stocks,Self-employed,Digital Only,2.9,4
CUST067,Nakul Sangha,Other,54,46-55,Madhya Pradesh,Bhilwara,2021-10-09,Current,No,No,1136352,192,1360937,368,FD,Student,Retail Banking,4.1,6
CUST068,Vanya Yohannan,Other,55,46-55,Gujarat,Raiganj,2020-03-26,NRI,No,No,1862109,257,2622819,436,FD,Self-employed,Retail Banking,5.6,7
CUST069,Stuvan Rana,Other,44,36-45,West Bengal,Nashik,2024-09-07,Current,No,No,1297127,484,3933318,491,FD,Retired,Corporate Banking,1.2,10
CUST070,Mannat Talwar,Female,27,26-35,Karnataka,Agra,2022-07-05,Current,No,No,821739,262,4560443,453,FD,Self-employed,Corporate Banking,3.3,4
CUST071,Yuvaan Dara,Female,42,36-45,Karnataka,Bikaner,2021-12-08,Salary,Yes,Yes,1953183,396,3498743,890,Mutual Funds,Student,Retail Banking,3.9,2
CUST072,Nakul Gade,Other,65,56-65,Uttar Pradesh,Kollam,2025-05-17,NRI,Yes,No,355050,486,1511586,541,Stocks,Salaried,Retail Banking,0.5,5
CUST073,Kanav Bhalla,Other,63,56-65,Gujarat,Hosur,2024-02-24,Salary,Yes,No,240781,74,1575673,820,FD,Student,Digital Only,1.7,1
CUST074,Arnav Tak,Other,54,46-55,Bihar,Giridih,2024-01-20,Current,No,No,201325,41,3361434,423,Stocks,Salaried,Corporate Banking,1.8,4
CUST075,Mahika Majumdar,Male,28,26-35,Delhi,Bhalswa Jahangir Pur,2021-01-27,Current,No,No,314209,311,369904,869,None,Student,Retail Banking,4.8,1
CUST076,Kavya Hans,Female,70,65+,Rajasthan,Arrah,2021-09-15,Salary,Yes,No,880994,106,3857012,306,FD,Student,Digital Only,4.1,8
CUST077,Nakul Jayaraman,Female,28,26-35,Uttar Pradesh,Kirari Suleman Nagar,2020-10-21,Savings,Yes,No,1690759,168,556970,517,Stocks,Retired,Retail Banking,5.0,7
CUST078,Drishya Viswanathan,Male,62,56-65,Maharashtra,Firozabad,2021-02-19,Salary,No,No,2373332,493,3755779,561,None,Self-employed,Retail Banking,4.7,5
CUST079,Mannat Cherian,Male,70,65+,Rajasthan,Ichalkaranji,2024-06-17,Salary,No,No,1231588,99,4588043,692,Stocks,Salaried,Digital Only,1.4,2
CUST080,Himmat Gaba,Male,55,46-55,Uttar Pradesh,Berhampore,2023-09-08,Salary,Yes,Yes,1692351,204,4533889,342,None,Salaried,Retail Banking,2.2,6
CUST081,Adah Choudhary,Other,39,36-45,Delhi,Panihati,2023-11-18,NRI,Yes,Yes,1694637,500,1571727,882,Mutual Funds,Retired,Corporate Banking,2.0,5
CUST082,Jiya Sandal,Female,69,65+,West Bengal,North Dumdum,2022-11-13,Current,Yes,Yes,2039408,34,4371255,697,Stocks,Self-employed,Retail Banking,3.0,2
CUST083,Vihaan Mangat,Other,47,46-55,Madhya Pradesh,Gaya,2025-02-20,Savings,Yes,Yes,1281666,402,2219751,627,FD,Self-employed,Retail Banking,0.7,2
CUST084,Abram Virk,Male,39,36-45,Madhya Pradesh,Bhusawal,2021-02-01,Current,No,No,364560,350,650338,332,FD,Student,Digital Only,4.8,10
CUST085,Ritvik Grewal,Male,61,56-65,Gujarat,Srinagar,2021-07-03,Current,Yes,No,432105,491,2532233,493,Mutual Funds,Salaried,Retail Banking,4.3,7
CUST086,Gokul Warrior,Male,19,18-25,Gujarat,Jamshedpur,2024-02-03,Savings,No,No,763879,64,1170891,377,Mutual Funds,Salaried,Digital Only,1.8,4
CUST087,Eva Grover,Female,32,26-35,Gujarat,Malda,2021-01-06,Current,No,No,2292922,185,143788,425,FD,Student,Retail Banking,4.8,7
CUST088,Eshani Reddy,Male,48,46-55,Tamil Nadu,Baranagar,2021-05-25,NRI,No,No,1608391,59,2791681,840,Stocks,Salaried,Corporate Banking,4.4,9
CUST089,Jiya Roy,Female,30,26-35,Bihar,Raebareli,2025-09-06,NRI,No,No,2013292,162,4745772,835,Mutual Funds,Self-employed,Corporate Banking,0.2,3
CUST090,Akarsh Virk,Other,62,56-65,Madhya Pradesh,Maheshtala,2022-01-10,Salary,Yes,No,2120256,152,4137745,698,None,Retired,Retail Banking,3.8,2
CUST091,Shayak Chakrabarti,Female,29,26-35,Uttar Pradesh,Nangloi Jat,2024-11-11,Current,Yes,Yes,1830621,386,942934,747,Mutual Funds,Salaried,Corporate Banking,1.0,5
CUST092,Faiyaz Korpal,Male,35,26-35,Uttar Pradesh,Phagwara,2025-05-08,NRI,No,No,1227415,323,1956500,442,Mutual Funds,Salaried,Corporate Banking,0.5,3
CUST093,Jayesh Keer,Female,23,18-25,West Bengal,Jaunpur,2020-12-27,NRI,Yes,No,2298219,145,386659,594,Mutual Funds,Salaried,Digital Only,4.9,7
CUST094,Saksham Bala,Other,50,46-55,Delhi,Dhanbad,2023-08-29,Current,Yes,No,2408229,358,908090,658,Mutual Funds,Retired,Corporate Banking,2.2,6
CUST095,Shamik Chaudhari,Female,21,18-25,Bihar,Muzaffarnagar,2023-08-28,Current,No,No,1769106,18,3038103,698,None,Retired,Corporate Banking,2.2,2
CUST096,Umang Cherian,Female,49,46-55,Uttar Pradesh,Tadepalligudem,2022-12-28,Savings,Yes,Yes,529297,265,3263478,851,Stocks,Salaried,Corporate Banking,2.9,5
CUST097,Vritika Trivedi,Other,60,56-65,Gujarat,Aurangabad,2025-05-16,Salary,No,No,1567433,48,199542,700,Mutual Funds,Salaried,Corporate Banking,0.5,9
CUST098,Fateh Deo,Other,43,36-45,Tamil Nadu,Kumbakonam,2023-08-21,Salary,No,No,2360799,468,332755,876,None,Self-employed,Corporate Banking,2.2,10
CUST099,Diya Borah,Male,55,46-55,Gujarat,Bokaro,2022-01-28,NRI,No,No,848822,488,4572770,416,Stocks,Salaried,Retail Banking,3.8,8
CUST100,Ehsaan Chad,Male,30,26-35,Gujarat,Gandhinagar,2025-01-24,Savings,Yes,Yes,1865878,488,3467976,612,Stocks,Retired,Digital Only,0.8,1
CUST101,Shalv Gulati,Male,38,36-45,Madhya Pradesh,Thiruvananthapuram,2023-06-09,Salary,No,No,644255,138,3724768,417,Mutual Funds,Salaried,Retail Banking,2.4,6
CUST102,Kaira Chaudhry,Female,69,65+,Tamil Nadu,Panvel,2022-12-20,Salary,No,No,814256,147,841117,644,Stocks,Student,Retail Banking,2.9,6
CUST103,Arhaan Kunda,Female,33,26-35,Maharashtra,Jalgaon,2022-02-22,Current,Yes,No,2436798,213,4800929,614,Stocks,Self-employed,Digital Only,3.7,2
CUST104,Jhanvi Jain,Male,45,36-45,Gujarat,Mango,2021-06-05,NRI,No,No,1540767,348,2057327,385,None,Salaried,Retail Banking,4.4,5
CUST105,Dharmajan Dara,Male,32,26-35,Madhya Pradesh,Tadipatri,2022-09-17,Savings,Yes,No,1863479,168,4116735,597,Mutual Funds,Self-employed,Retail Banking,3.1,3
CUST106,Jayesh Butala,Male,25,18-25,Gujarat,Amaravati,2021-11-01,Salary,Yes,Yes,818088,388,2765232,352,Mutual Funds,Student,Retail Banking,4.0,6
CUST107,Sahil Dhar,Male,63,56-65,West Bengal,Kottayam,2022-12-22,Salary,No,No,1605714,228,2457854,808,None,Retired,Corporate Banking,2.9,7
CUST108,Taran Raja,Female,27,26-35,West Bengal,Cuttack,2023-07-04,Savings,Yes,Yes,1695403,418,539149,315,Stocks,Salaried,Corporate Banking,2.3,8
CUST109,Samarth Loyal,Other,23,18-25,Karnataka,Jodhpur,2025-06-15,Salary,No,No,420133,86,2011261,543,Stocks,Student,Retail Banking,0.4,3
CUST110,Mohanlal Basak,Male,65,56-65,West Bengal,Jalna,2024-04-14,Savings,Yes,Yes,1975303,205,120374,896,None,Student,Digital Only,1.6,8
CUST111,Lagan Chokshi,Other,43,36-45,Uttar Pradesh,Rampur,2023-12-23,Salary,No,No,1947359,67,2616613,655,Mutual Funds,Retired,Retail Banking,1.9,8
CUST112,Mahika Sinha,Female,22,18-25,Rajasthan,Pallavaram,2024-07-27,Current,No,No,2395483,362,2918626,840,FD,Salaried,Retail Banking,1.3,9
CUST113,Shamik Mannan,Other,63,56-65,Madhya Pradesh,Dehradun,2024-09-06,NRI,Yes,No,2191649,479,3144002,624,Mutual Funds,Retired,Corporate Banking,1.2,10
CUST114,Ivana Gala,Other,34,26-35,Bihar,Ludhiana,2024-11-09,Savings,Yes,Yes,1903236,31,2707139,332,None,Salaried,Corporate Banking,1.0,3
CUST115,Navya Kala,Other,61,56-65,Karnataka,Munger,2024-04-17,Salary,No,No,2265104,20,1269577,610,Stocks,Retired,Corporate Banking,1.6,9
CUST116,Diya Hayre,Other,19,18-25,Tamil Nadu,Ramgarh,2023-02-03,Salary,No,No,615370,375,160075,644,None,Retired,Digital Only,2.8,3
CUST117,Dishani Amble,Other,56,56-65,Rajasthan,Jamshedpur,2023-04-15,Current,Yes,No,2043075,154,3951436,545,Mutual Funds,Retired,Corporate Banking,2.6,8
CUST118,Badal Khanna,Male,55,46-55,Madhya Pradesh,Kanpur,2024-12-17,Current,No,No,280486,129,2617432,713,Stocks,Salaried,Corporate Banking,0.9,2
CUST119,Tarini Soni,Other,31,26-35,Uttar Pradesh,Imphal,2020-09-04,Salary,Yes,No,220650,392,2042455,735,FD,Retired,Corporate Banking,5.2,2
CUST120,Jiya Kari,Male,56,56-65,Bihar,Cuttack,2025-11-03,NRI,Yes,Yes,488394,484,4666273,556,Mutual Funds,Retired,Digital Only,0.0,6
CUST121,Renee Chaudhary,Male,32,26-35,Delhi,Tiruvottiyur,2022-05-10,Salary,Yes,Yes,954775,216,76165,611,None,Student,Digital Only,3.5,9
CUST122,Ira Chand,Other,62,56-65,Gujarat,Jalandhar,2023-10-17,NRI,Yes,No,406427,500,4084737,781,None,Student,Retail Banking,2.1,3
CUST123,Amani Gole,Female,42,36-45,Uttar Pradesh,Tirupati,2023-11-11,Salary,Yes,No,1261423,354,1365016,381,Stocks,Salaried,Corporate Banking,2.0,6
CUST124,Shlok Balasubramanian,Female,33,26-35,Madhya Pradesh,Hajipur,2024-03-29,Savings,Yes,Yes,533359,217,4753050,814,Stocks,Student,Digital Only,1.6,6
CUST125,Advik Krishnamurthy,Female,48,46-55,Tamil Nadu,Ramgarh,2022-08-09,Savings,Yes,No,920994,93,2354277,714,Mutual Funds,Self-employed,Retail Banking,3.2,2
CUST126,Advik Mannan,Female,35,26-35,West Bengal,Davanagere,2021-10-21,Current,No,No,1982667,455,630115,611,Mutual Funds,Retired,Corporate Banking,4.0,9
CUST127,Adira Gera,Male,18,18-25,Delhi,Saharanpur,2022-04-10,Salary,No,No,1820152,439,4676204,590,FD,Salaried,Retail Banking,3.6,5
CUST128,Advika Sundaram,Other,40,36-45,Madhya Pradesh,Latur,2022-05-03,NRI,No,No,1525508,310,4660123,710,Mutual Funds,Student,Retail Banking,3.5,6
CUST129,Elakshi Kothari,Other,57,56-65,West Bengal,Vijayanagaram,2025-06-22,NRI,Yes,No,2317679,272,3107497,613,Stocks,Salaried,Digital Only,0.4,6
CUST130,Dishani Garg,Male,41,36-45,Delhi,Proddatur,2025-10-05,Current,Yes,Yes,2378010,51,4248842,331,Mutual Funds,Student,Digital Only,0.1,8
CUST131,Saksham Sarraf,Male,26,26-35,Bihar,Sultan Pur Majra,2023-04-27,Savings,No,No,1996107,412,1309582,611,FD,Retired,Digital Only,2.5,6
CUST132,Inaaya  Sur,Male,46,46-55,Delhi,Warangal,2023-05-20,Savings,Yes,Yes,773157,185,3030959,338,Mutual Funds,Student,Corporate Banking,2.5,9
CUST133,Saira Chhabra,Female,36,36-45,Uttar Pradesh,Guntur,2024-02-02,Current,No,No,974830,27,814061,660,FD,Salaried,Digital Only,1.8,3
CUST134,Diya Chand,Other,31,26-35,Karnataka,Howrah,2024-05-16,Salary,Yes,Yes,2327810,122,1034403,847,FD,Retired,Retail Banking,1.5,2
CUST135,Aarav Rajan,Female,55,46-55,Delhi,Cuttack,2022-01-24,Savings,Yes,No,1498890,110,2741851,347,FD,Self-employed,Retail Banking,3.8,4
CUST136,Ela Vig,Female,58,56-65,Rajasthan,Madurai,2025-07-21,NRI,No,No,2299446,13,2965623,658,Mutual Funds,Self-employed,Retail Banking,0.3,7
CUST137,Tushar Wali,Other,40,36-45,West Bengal,Sasaram,2022-07-03,NRI,Yes,No,1913840,333,1935790,305,None,Retired,Retail Banking,3.3,3
CUST138,Faiyaz Issac,Male,32,26-35,Karnataka,Dhanbad,2021-02-02,Savings,Yes,Yes,1558143,328,3919745,428,Mutual Funds,Student,Digital Only,4.8,7
CUST139,Divij Divan,Male,21,18-25,West Bengal,Ranchi,2020-12-13,Salary,No,No,985794,209,3825182,640,FD,Salaried,Digital Only,4.9,1
CUST140,Bhavin Gala,Female,46,46-55,Delhi,Anantapur,2022-09-30,NRI,No,No,753522,442,765870,676,FD,Student,Corporate Banking,3.1,3
CUST141,Madhav Bail,Male,65,56-65,Karnataka,Saharanpur,2021-01-10,NRI,No,No,1647816,483,1062065,579,Stocks,Self-employed,Retail Banking,4.8,1
CUST142,Eva Rajagopalan,Female,23,18-25,Bihar,Katihar,2021-12-16,Current,No,No,243219,386,1063158,399,None,Salaried,Retail Banking,3.9,9
CUST143,Aarna Manda,Male,56,56-65,Rajasthan,Naihati,2020-01-08,Savings,Yes,Yes,343859,367,2088720,832,FD,Retired,Retail Banking,5.8,3
CUST144,Trisha Gola,Female,52,46-55,Bihar,Pali,2020-08-14,Savings,No,No,2483898,492,3014970,321,Stocks,Self-employed,Retail Banking,5.2,8
CUST145,Zoya Lanka,Male,37,36-45,Maharashtra,Malegaon,2022-10-11,Salary,No,No,280756,110,2723932,791,Mutual Funds,Self-employed,Digital Only,3.1,10
CUST146,Dishani Sahni,Male,50,46-55,Madhya Pradesh,Jamnagar,2024-09-25,NRI,No,No,248629,103,1485213,470,FD,Salaried,Corporate Banking,1.1,7
CUST147,Jhanvi Ravel,Female,49,46-55,Bihar,Panchkula,2020-05-03,Current,Yes,Yes,1738616,393,3661511,432,Mutual Funds,Self-employed,Corporate Banking,5.5,7
CUST148,Ritvik Ganesan,Other,22,18-25,Uttar Pradesh,Pune,2022-04-01,Savings,No,No,2129395,151,4562445,409,Mutual Funds,Salaried,Digital Only,3.6,2
CUST149,Hunar Gala,Other,62,56-65,Karnataka,Sambhal,2020-02-16,Savings,No,No,1342852,32,1611822,677,Mutual Funds,Student,Retail Banking,5.7,7
CUST150,Renee Gera,Male,22,18-25,Rajasthan,Hospet,2020-10-13,Current,Yes,No,2370813,442,4276866,684,FD,Salaried,Retail Banking,5.1,3
CUST151,Tejas Vig,Other,59,56-65,Tamil Nadu,Katihar,2022-03-07,Savings,No,No,433903,94,3829924,659,FD,Student,Corporate Banking,3.7,1
CUST152,Dharmajan Bawa,Male,40,36-45,Delhi,Gwalior,2025-01-01,NRI,No,No,1539761,353,4005305,672,Mutual Funds,Self-employed,Digital Only,0.8,5
CUST153,Zain Rama,Female,44,36-45,Karnataka,Thane,2023-08-01,Savings,No,No,1606523,37,552439,404,FD,Salaried,Retail Banking,2.3,4
CUST154,Keya Hayre,Other,67,65+,Rajasthan,Dehradun,2020-12-07,Salary,Yes,Yes,2321538,127,2210679,781,Stocks,Salaried,Retail Banking,4.9,6
CUST155,Shalv Shankar,Male,55,46-55,Tamil Nadu,Etawah,2023-03-16,Savings,No,No,2382727,34,2656019,673,Mutual Funds,Salaried,Corporate Banking,2.6,4
CUST156,Hunar Bera,Female,22,18-25,Rajasthan,Varanasi,2024-08-17,Current,Yes,Yes,752139,350,1015777,678,None,Self-employed,Retail Banking,1.2,6
CUST157,Priyansh Sinha,Male,49,46-55,Bihar,Gopalpur,2023-03-08,NRI,No,No,518829,153,2807779,304,Mutual Funds,Retired,Retail Banking,2.7,3
CUST158,Arhaan Borah,Female,59,56-65,Tamil Nadu,Arrah,2020-08-23,Savings,Yes,Yes,1044572,463,2732945,366,FD,Retired,Retail Banking,5.2,9
